index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
40,Al2SeTe+InGaTe2-2,1.58,Indirect,4.086,0.1662,0.1733,0.6811,0,5,-3.9101225,-5.4899225,-3.5921183,-5.1719183
41,InAlS2+SeInGaTe-3,2.085,Indirect,3.917,0.086,0.4299,0.1296,0.4903,5,-3.9401533,-6.0254533,-4.1181721,-6.2034721
42,InAlS2+InGaS2,2.092,Indirect,3.743,0.013,0.2814,0.5467,0.1173,2,-4.1928443,-6.2852443,-4.0485235,-6.1409235
43,InAlS2+InGaS2-2,2.309,Indirect,3.743,0.6013,0.0383,0.13,0.4853,5,-4.5802567,-6.8888567,-4.6521423,-6.9607423
44,InAlS2+SeInAlTe-3,2.033,Indirect,3.91,0.2987,0.0031,0.0913,0.5128,2,-3.8325113,-5.8658113,-4.051009,-6.084309
45,InAlS2+InAlSe2,1.337,Indirect,3.814,0.005,0.2764,0.7325,0,2,-4.3932096,-5.7306096,-4.2075265,-5.5449265
46,InAlS2+InAlTe2-3,1.257,Direct,3.981,0.0256,0.4768,0.6906,0.0003,2,-3.3323493,-4.5898493,-4.9583156,-6.2158156
47,InAlS2+TeInGaSe,0.428,Direct,3.898,0.6981,0,0.6997,0,1,-4.194448,-4.622448,-4.1410536,-4.5690536
48,InAlS2+InGaTe2-2,0.995,Direct,3.991,0.0431,0.4676,0.6915,0,2,-4.503427,-5.498727,-4.6083159,-5.6036159
49,InAlS2+SeGaAlTe-2,2.008,Indirect,3.844,0.0171,0.2632,0.5658,0.0002,2,-4.3285659,-6.3364659,-4.3763331,-6.3842331
50,InAlS2+InGaTe2-3,1.193,Direct,3.99,0.038,0.4717,0.6906,0.0003,2,-4.2918307,-5.4851307,-4.4458523,-5.6391523
51,InAlS2+InGaSe2-2,2.302,Indirect,3.828,0.3952,0.1952,0.2099,0.4243,6,-4.2903465,-6.5926465,-4.3729831,-6.6752831
52,InAlS2+TeInGaSe-2,1.005,Direct,3.906,0.4433,0.1643,0.7002,0,5,-3.8210101,-4.8263101,-4.962289,-5.967589
53,InAlS2+SeInAlS,1.12,Indirect,3.763,0.0048,0.2819,0.7368,0,2,-4.4027222,-5.5226222,-4.2185843,-5.3384843
54,InAlS2+SInGaTe-1,1.544,Direct,3.882,0.0698,0.443,0.6878,0,2,-3.7100223,-5.2539223,-3.6915243,-5.2354243
55,InAlS2+TeInGaS-2,0.442,Direct,3.85,0.7037,0,0.7056,0,1,-4.7584888,-5.2007888,-4.91025,-5.35255
56,InAlS2+TeInAlSe-2,0.419,Direct,3.888,0.0813,0.4238,0.6741,0.0178,2,-4.4392462,-4.8583462,-4.5211689,-4.9402689
57,InAlS2+SInAlTe-1,2.15,Direct,3.875,0.0538,0.4479,0.5609,0,2,-3.4804515,-5.6307515,-3.5015458,-5.6518458
