index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
1398,InGaSe2+TeInAlSe-2,-0.485,Direct,3.994,0.6831,0.0027,0.0883,0.5293,3,-5.0074798,-4.5221798,-5.0113926,-4.5260926
1399,InGaS2+TeGaAlSe-3,0.982,Direct,3.855,0.044,0.592,0.6889,0.0006,2,-4.0381779,-5.0202779,-4.6278252,-5.6099252
1400,InGaSe2+SGaAlSe-2,2.297,Indirect,3.806,0.1863,0.432,0.4713,0.1329,6,-4.3249722,-6.6223722,-3.8578287,-6.1552287
1401,InGaSe2+SInGaTe-3,1.662,Direct,3.984,0.1538,0.4816,0.2314,0.4224,6,-4.0292975,-5.6917975,-4.1123205,-5.7748205
1402,InGaSe2+SeInGaS-3,1.618,Indirect,3.884,0.4832,0.1655,0.2555,0.4397,6,-4.5631291,-6.1814291,-4.5797574,-6.1980574
1403,InGaSe2+TeGaAlSe-3,1.592,Direct,3.934,0.0792,0.534,0.6757,0.0013,2,-3.9791899,-5.5706899,-4.0288185,-5.6203185
1404,InGaS2+TeInGaSe-3,0.429,Direct,3.913,0.6955,0.0008,0.6975,0.0009,1,-4.7955682,-5.2249682,-4.8467612,-5.2761612
1405,InGaSe2+TeInAlS-2,0.425,Direct,3.945,0.6922,0,0.6939,0,1,-4.5531213,-4.9783213,-4.5543195,-4.9795195
1406,InSe+InAlS2,2.093,Indirect,3.9,0.3291,0.21,0.5133,0.1009,5,-4.4103301,-6.5029301,-4.3240727,-6.4166727
1407,InTe+SeGaAlS,1.154,Direct,4.019,0.5123,0.0348,0.0001,0.6855,2,-4.4317349,-5.5860349,-4.3810048,-5.5353048
1408,InTe+Al2SSe,1.243,Direct,4.005,0.4193,0.0351,0.0001,0.6871,2,-3.9924446,-5.2352446,-3.9859894,-5.2287894
1409,InGaTe2+TeInAlSe-2,1.298,Direct,4.149,0.3963,0.0874,0.6736,0,1,-4.3816014,-5.6798014,-4.1138461,-5.4120461
1410,InTe+TeGaAlSe,1.475,Indirect,4.152,0.4478,0.0453,0.4228,0.1873,5,-4.0788012,-5.5541012,-4.060005,-5.535305
1411,InGaTe2+TeInAlSe-3,1.148,Indirect,4.151,0.3731,0.1508,0.1908,0.4517,6,-4.2128799,-5.3609799,-4.2461291,-5.3942291
1412,InGaTe2+TeInAlS,1.093,Direct,4.114,0.4449,0.0447,0.6771,0,1,-4.463294,-5.556194,-3.8341448,-4.9270448
1413,InGaTe2+TeGaAlS-2,1.474,Direct,4.049,0.4444,0.0397,0,0.6851,2,-3.9770175,-5.4514175,-3.9636382,-5.4380382
1414,InSe+SeInAlS,1.935,Indirect,3.938,0.2903,0.256,0.5128,0.114,5,-4.7086477,-6.6439477,-3.9345384,-5.8698384
1415,InTe+GaAlS2,0.929,Direct,3.974,0.5208,0.0432,0.0001,0.6903,2,-4.6224207,-5.5513207,-4.5547107,-5.4836107
1416,InSe+In2SSe,1.704,Direct,4.033,0.4362,0.1879,0.3001,0.3596,6,-4.420942,-6.125442,-4.4322376,-6.1367376
1417,InGaTe2+SeGaAlS-3,-0.738,Direct,3.962,0.0014,0.6902,0.4769,0.1001,3,-4.8071496,-4.0692496,-4.8426166,-4.1047166
1418,InGaTe2+SInAlTe-2,1.842,Indirect,4.123,0.055,0.4462,0.369,0.2517,5,-4.1327677,-5.9745677,-4.0579768,-5.8997768
1419,InGaTe2+TeGaAlS,1.626,Direct,4.049,0.443,0.0418,0.0005,0.6841,2,-3.8379308,-5.4637308,-3.7970499,-5.4228499
1420,InGaTe2+TeGaAlSe-2,1.59,Direct,4.092,0.422,0.0662,0,0.6806,2,-3.9758097,-5.5658097,-3.921198,-5.511198
1421,InGaTe2+TeInGaSe-3,1.038,Indirect,4.168,0.4538,0.2098,0.3296,0.3338,6,-4.7116321,-5.7499321,-4.4332014,-5.4715014
1422,InGaTe2+SeInAlS,1.367,Direct,4.03,0.462,0.0352,0.0004,0.6862,2,-4.7652071,-6.1320071,-3.7676599,-5.1344599
1423,InS+SeGaAlS,2.051,Indirect,3.799,0.0637,0.5491,0.5324,0.0517,2,-4.2318201,-6.2828201,-4.1906985,-6.2416985
1424,InGaTe2+SeInAlS-3,0.654,Direct,4.034,0.4119,0.1425,0,0.6863,5,-4.3316797,-4.9860797,-4.38486,-5.03926
1425,InTe+Al2SeTe,1.677,Indirect,4.149,0.3814,0.0447,0.3165,0.2418,5,-3.8117129,-5.4889129,-3.8254391,-5.5026391
1426,InGaTe2+SeGaAlS-2,0.984,Direct,3.963,0.5013,0.0373,0,0.6943,2,-4.2966027,-5.2809027,-4.261881,-5.246181
1427,InGaTe2+SInAlSe-2,1.274,Direct,4.038,0.4483,0.0774,0,0.6865,2,-4.4600331,-5.7338331,-4.39362,-5.66742
1428,InTe+Al2STe,1.71,Direct,4.111,0.3859,0.0291,0.0002,0.6753,2,-3.7840831,-5.4943831,-3.8364371,-5.5467371
1429,InSe+SInAlTe-1,1.916,Direct,4.043,0.3163,0.2861,0.2129,0.418,6,-3.2483546,-5.1646546,-4.2811068,-6.1974068
1430,InGaTe2+TeInAlSe,1.284,Direct,4.15,0.4012,0.0793,0.6733,0,1,-4.181107,-5.465607,-4.13673,-5.42123
1431,InSe+In2STe,1.409,Direct,4.112,0.3443,0.2915,0.6791,0,5,-4.3231871,-5.7318871,-4.3617121,-5.7704121
1432,InSe+In2SeTe-1,1.386,Indirect,4.141,0.1738,0.446,0.3598,0.3271,6,-4.543019,-5.929219,-4.526838,-5.913038
1433,InS+Al2SSe,2.367,Indirect,3.787,0.0471,0.5577,0.4123,0.0826,2,-3.8666423,-6.2340423,-3.9348963,-6.3022963
1434,InGaTe2+SeInGaS-3,0.694,Direct,4.057,0.4821,0.1914,0,0.684,5,-4.8299999,-5.5241999,-4.8073145,-5.5015145
1435,InGaTe2+TeInAlS-3,1.147,Direct,4.105,0.3927,0.1501,0.0042,0.6747,5,-4.2235793,-5.3702793,-4.2543303,-5.4010303
1436,InS+InAlS2,2.084,Indirect,3.824,0.0801,0.5317,0.539,0.0637,2,-4.6040231,-6.6881231,-4.5152846,-6.5993846
1437,InSe+TeInAlSe,0.896,Direct,4.064,0.1914,0.3884,0.6825,0,5,-4.3857861,-5.2817861,-4.3551765,-5.2511765
1438,InGaTe2+TeInAlS-2,1.111,Direct,4.115,0.4415,0.0469,0.6771,0,1,-4.2768884,-5.3878884,-4.2422845,-5.3532845
1439,InSe+TeInAlS,0.697,Direct,4.016,0.2568,0.3074,0.6875,0,5,-4.3473768,-5.0446768,-4.3049937,-5.0022937
1440,InS+TeInAlS,0.431,Direct,3.933,0.6926,0,0.6949,0,1,-4.481137,-4.912137,-4.4733961,-4.9043961
1441,InSe+SeGaAlS,2.125,Indirect,3.869,0.3067,0.2538,0.5144,0.0832,5,-4.0206396,-6.1452396,-3.9760972,-6.1006972
1442,InTe+SeInAlS,1.381,Direct,4.094,0.4797,0.031,0.0002,0.6775,2,-4.5293197,-5.9105197,-4.4654461,-5.8466461
1443,InGaTe2+SeInAlS-2,1.191,Direct,4.034,0.4594,0.0385,0,0.6865,2,-4.7640548,-5.9554548,-4.1246109,-5.3160109
1444,InTe+TeGaAlS,1.628,Indirect,4.109,0.4676,0.0307,0.4009,0.2065,5,-4.0254747,-5.6539747,-3.9980042,-5.6265042
1445,InTe+InAlS2,1.194,Direct,4.058,0.4902,0.0336,0.0001,0.6812,2,-4.6895575,-5.8839575,-4.613916,-5.808316
1446,InTe+TeInAlS,1.269,Direct,4.184,0.4685,0.0324,0.6703,0,1,-4.2533563,-5.5222563,-4.2055464,-5.4744464
1447,InSe+Al2STe,2.085,Indirect,3.954,0.1576,0.3836,0.3644,0.1607,6,-3.7145242,-5.7991242,-3.8689836,-5.9535836
1448,InTe+SInAlSe,1.389,Direct,4.1,0.4608,0.066,0.0002,0.6766,2,-4.6103073,-5.9990073,-4.534513,-5.923213
1449,InSe+Al2SSe,2.317,Indirect,3.86,0.1813,0.0951,0.3919,0.1327,6,-3.7730222,-6.0903222,-3.7971255,-6.1144255
1450,InSe+TeGaAlS,1.506,Direct,3.96,0.1792,0.3973,0.6729,0,5,-3.9968178,-5.5031178,-3.9783178,-5.4846178
1451,InGaTe2+TeGaAlS-3,1.239,Direct,4.044,0.4113,0.114,0,0.6854,5,-3.9456098,-5.1847098,-3.9732113,-5.2123113
1452,InTe+TeInAlSe,1.263,Indirect,4.221,0.4397,0.0389,0.3996,0.2369,5,-4.3580925,-5.6208925,-4.3290015,-5.5918015
1453,InTe+InAlSe2,1.376,Indirect,4.14,0.4533,0.0514,0.4554,0.178,5,-4.8266294,-6.2029294,-4.131923,-5.508223
1454,InGaTe2+SGaAlSe-2,0.993,Direct,3.967,0.5103,0.0752,0,0.694,2,-4.4291984,-5.4222984,-4.3745198,-5.3676198
1455,InGaTe2+TeInGaS-3,1.178,Indirect,4.132,0.4613,0.2108,0.28,0.3813,6,-4.6598724,-5.8382724,-4.6145477,-5.7929477
1456,InGaTe2+TeGaAlSe-3,1.406,Direct,4.091,0.3967,0.1224,0.0001,0.6803,5,-3.7637494,-5.1694494,-4.1016628,-5.5073628
1457,SeGaAlTe+SeInAlTe,1.486,Direct,4.02,0.0456,0.552,0.4018,0.1676,5,-4.8875229,-6.3733229,-3.3582667,-4.8440667
1458,SeGaAlTe+SInGaSe-3,1.344,Indirect,3.906,0.556,0.0746,0.0816,0.4897,2,-4.4171362,-5.7615362,-4.5074116,-5.8518116
1459,SeGaAlS+SeGaAlS,2.223,Indirect,3.682,0.0081,0.2657,0.4759,0.1105,2,-4.3661919,-6.5890919,-3.3554568,-5.5783568
1460,SeGaAlTe+SInAlSe-1,1.92,Indirect,3.897,0.2982,0.0226,0.1454,0.4317,5,-3.4335249,-5.3532249,-3.4576353,-5.3773353
1461,SeGaAlTe+TeInGaSe-1,1.07,Direct,4.016,0.2482,0.3542,0.6867,0.0015,5,-4.4056109,-5.4760109,-3.515816,-4.586216
1462,SeGaAlS+SInAlTe-1,2.093,Indirect,3.847,0.2884,0.0022,0.1192,0.4699,5,-3.0589576,-5.1522576,-3.6888057,-5.7821057
1463,SeGaAlTe+TeGaAlSe-1,1.801,Direct,3.951,0.0778,0.5025,0.673,0.0012,2,-3.6019323,-5.4032323,-3.1535825,-4.9548825
1464,SeGaAlTe+SGaAlSe,2.056,Indirect,3.824,0.0372,0.3399,0.4911,0.0905,2,-4.5598258,-6.6155258,-3.0771861,-5.1328861
1465,SeGaAlTe+TeGaAlS-2,1.693,Indirect,3.904,0.2628,0.0198,0.682,0,1,-3.8809861,-5.5737861,-3.9204448,-5.6132448
1466,SeGaAlS+SeInGaTe-1,1.776,Direct,3.89,0.091,0.4624,0.6865,0,2,-3.6040113,-5.3802113,-3.6100626,-5.3862626
1467,SeGaAlTe+TeInAlS,-0.565,Direct,3.96,0.6707,0.015,0.1989,0.3707,3,-4.4176855,-3.8528855,-4.3130584,-3.7482584
1468,SeGaAlS+SInGaTe-1,1.966,Direct,3.854,0.1541,0.3987,0.6927,0,5,-3.2436508,-5.2096508,-3.5016125,-5.4676125
1469,SeGaAlTe+SeInGaS-1,1.642,Indirect,3.899,0.5231,0.1171,0.3178,0.3099,5,-4.5030759,-6.1448759,-3.6931492,-5.3349492
1470,SeGaAlS+TeInAlS-3,0.147,Direct,3.803,0.7019,0.0005,0.7012,0.0006,1,-4.0188238,-4.1654238,-4.1176071,-4.2642071
1471,SeGaAlTe+SeInAlS,2.093,Indirect,3.884,0.0699,0.293,0.4477,0.1611,5,-3.9030311,-5.9959311,-3.7723625,-5.8652625
1472,SeGaAlS+SeInGaS-3,2.102,Indirect,3.754,0.6007,0.0398,0.1078,0.4931,2,-4.106841,-6.208741,-4.1627448,-6.2646448
1473,SeGaAlTe+SInAlTe-2,2.14,Indirect,3.982,0.0884,0.5095,0.1975,0.3804,5,-4.3542642,-6.4942642,-3.9801175,-6.1201175
1474,SeGaAlTe+TeInAlS-1,0.862,Direct,3.957,0.31,0.1929,0.6907,0.001,5,-3.6672549,-4.5296549,-3.6371422,-4.4995422
1475,SeGaAlTe+TeInAlSe-2,1.156,Direct,4,0.3449,0.1449,0.6889,0,5,-4.038657,-5.194157,-4.3375551,-5.4930551
1476,SeGaAlTe+SInGaTe,1.67,Direct,3.991,0.0722,0.5295,0.428,0.1835,5,-4.6974445,-6.3670445,-3.2919777,-4.9615777
1477,SeGaAlS+TeInGaS-3,0.446,Direct,3.823,0.7044,0.0002,0.706,0.0002,1,-4.4959234,-4.9416234,-4.5182139,-4.9639139
1478,SeGaAlS+SInGaSe-1,2.418,Indirect,3.765,0.1506,0.1915,0.1818,0.4346,6,-3.403864,-5.821564,-3.4074895,-5.8251895
1479,SeGaAlTe+SeInAlTe-2,2.003,Indirect,4.017,0.0585,0.5402,0.1823,0.3992,5,-4.192843,-6.196043,-4.0950957,-6.0982957
1480,SeGaAlTe+SeInAlTe-1,1.811,Direct,4.026,0.0597,0.5337,0.2521,0.3253,5,-3.3437464,-5.1548464,-3.3556282,-5.1667282
1481,SeGaAlTe+SeInAlS-2,2.051,Indirect,3.879,0.4317,0.0445,0.1719,0.408,5,-4.2981337,-6.3487337,-4.2831541,-6.3337541
1482,SeGaAlTe+SInAlSe-2,2.187,Indirect,3.891,0.2873,0.0319,0.1809,0.398,5,-4.2489668,-6.4358668,-4.2134947,-6.4003947
1483,SeGaAlTe+SeInGaS-2,1.231,Indirect,3.9,0.5573,0.0709,0.1043,0.4718,2,-4.7354211,-5.9668211,-4.7879168,-6.0193168
1484,SeGaAlTe+SInGaSe-1,1.746,Direct,3.909,0.5368,0.0908,0.2851,0.3116,5,-4.0062596,-5.7523596,-3.6592413,-5.4053413
1485,SeGaAlTe+SeInAlS-1,1.847,Indirect,3.882,0.4075,0.0881,0.1854,0.4017,5,-3.5612848,-5.4085848,-3.596818,-5.444118
1486,SeGaAlTe+SeInGaTe-3,1.719,Indirect,4.025,0.5505,0.0192,0.0825,0.4991,2,-3.2757935,-4.9945935,-4.4552323,-6.1740323
1487,SeGaAlTe+TeInGaS-1,0.843,Direct,3.973,0.3898,0.2354,0.6911,0.0016,5,-4.2140952,-5.0573952,-4.1012395,-4.9445395
1488,SeGaAlTe+SeInGaTe-2,1.879,Indirect,4.023,0.2161,0.3918,0.1625,0.4362,6,-3.9439819,-5.8229819,-4.2056791,-6.0846791
1489,SeGaAlTe+SGaAlSe-1,1.93,Indirect,3.827,0.292,0.0395,0,0.5683,2,-3.3576068,-5.2880068,-3.3670253,-5.2974253
1490,SeGaAlTe+TeInAlSe,0.812,Direct,4.006,0.0637,0.5305,0.688,0,2,-3.9274368,-4.7390368,-3.8123741,-4.6239741
1491,SeGaAlS+SeInAlTe,1.682,Direct,3.881,0.054,0.4909,0.6572,0.0005,2,-4.90531,-6.58681,-3.5556814,-5.2371814
1492,SeGaAlS+TeGaAlS,0.73,Indirect,3.771,0.0041,0.2596,0.7035,0,2,-4.1001857,-4.8301857,-3.3787757,-4.1087757
1493,SeGaAlTe+SInGaTe-1,1.873,Direct,3.995,0.2141,0.3967,0.2872,0.3171,6,-3.4805603,-5.3533603,-3.3743657,-5.2471657
1494,SeGaAlTe+TeGaAlSe-2,2.001,Indirect,3.951,0.2829,0.0437,0.6742,0,1,-3.7812206,-5.7824206,-3.8290751,-5.8302751
1495,SeGaAlTe+SInAlTe,1.753,Direct,3.982,0.0416,0.5563,0.4009,0.165,5,-4.1574641,-5.9105641,-3.98133,-5.73443
1496,SeGaAlTe+SeGaAlTe,1.684,Indirect,3.958,0.0571,0.5406,0.4805,0.0855,2,-4.5255677,-6.2095677,-3.1549785,-4.8389785
1497,SeGaAlTe+TeGaAlS,1.348,Indirect,3.907,0.0422,0.3312,0.6814,0,2,-4.0535299,-5.4012299,-3.094657,-4.442357
1498,SeGaAlS+TeInAlS,0.047,Indirect,3.805,0.1869,0.1098,0.7036,0,5,-3.7666002,-3.8141002,-3.7192803,-3.7667803
1499,SeGaAlTe+TeInAlSe-1,1.138,Direct,4.002,0.1619,0.3804,0.6864,0.0015,5,-3.5733637,-4.7114637,-3.5444732,-4.6825732
1500,SeGaAlTe+TeInAlS-2,0.801,Direct,3.956,0.4114,0.0557,0.6936,0,1,-4.3019961,-5.1027961,-4.3220485,-5.1228485
1501,SeGaAlS+TeInAlSe,0.396,Direct,3.858,0.7004,0,0.7013,0,1,-3.9874163,-4.3834163,-3.9285399,-4.3245399
1502,SeGaAlTe+TeGaAlS-1,1.622,Indirect,3.9,0.1275,0.2174,0.6815,0.0011,5,-3.6089083,-5.2304083,-3.152787,-4.774287
1503,SeGaAlTe+SInAlSe,2.017,Indirect,3.894,0.0354,0.348,0.4187,0.1625,5,-4.8384231,-6.8556231,-3.1006583,-5.1178583
1504,SeGaAlTe+TeInGaS,0.827,Direct,3.974,0.5521,0.0773,0.6937,0,1,-4.2616073,-5.0884073,-3.8060549,-4.6328549
1505,SeGaAlS+SInAlSe,2.158,Indirect,3.759,0.0062,0.2609,0.4675,0.1332,5,-5.0250258,-7.1826258,-3.3772307,-5.5348307
1506,SeGaAlS+SeInAlS-3,1.874,Indirect,3.738,0.2918,0.0065,0.0892,0.5037,2,-3.9645476,-5.8389476,-4.0972641,-5.9716641
1507,SeGaAlS+SeInAlS,1.485,Indirect,3.74,0.0072,0.2605,0.7399,0,2,-4.7539351,-6.2393351,-3.3716678,-4.8570678
1508,SeGaAlTe+SGaAlTe,1.816,Indirect,3.912,0.0249,0.3635,0.4907,0.0765,2,-4.723174,-6.539374,-3.0975109,-4.9137109
1509,SeInAlS+TeInGaSe-3,1.027,Direct,3.937,0.334,0.2334,0.6952,0.0003,5,-4.3386101,-5.3660101,-4.4042022,-5.4316022
1510,SeInAlTe+SInAlTe-3,1.673,Indirect,4.051,0.5235,0.0731,0.0824,0.5027,2,-3.801928,-5.474928,-3.9697054,-5.6427054
1511,SeInAlTe+TeInGaSe-3,1.223,Indirect,4.08,0.5502,0.0934,0.2148,0.4042,5,-4.719265,-5.942165,-4.7717916,-5.9946916
1512,SeInGaS+TeGaAlSe-3,1.024,Direct,3.892,0.042,0.5887,0.6828,0.0006,2,-4.1457948,-5.1700948,-4.4483595,-5.4726595
1513,SeInGaS+TeGaAlS,0.594,Direct,3.844,0.0602,0.5843,0.6913,0.0003,2,-4.407211,-5.001111,-4.3932658,-4.9871658
1514,SeInAlTe+SeInGaTe-3,1.645,Indirect,4.092,0.531,0.0893,0.1276,0.4782,5,-3.4530745,-5.0979745,-4.67084,-6.31574
1515,SeInGaS+TeInGaSe-3,0.414,Direct,3.961,0.6915,0.0008,0.6928,0.0008,1,-4.8648554,-5.2786554,-4.8809983,-5.2947983
1516,SeInAlTe+TeInGaS-3,1.078,Direct,4.044,0.5463,0.1098,0.6808,0.0029,1,-4.8150605,-5.8927605,-5.0675994,-6.1452994
1517,SeInGaS+SInGaSe-3,1.991,Indirect,3.843,0.2042,0.4324,0.2342,0.4522,6,-4.128919,-6.119919,-4.1792671,-6.1702671
1518,SeInAlTe+TeGaAlSe-2,1.984,Direct,4.012,0.4239,0.0406,0.2502,0.3221,5,-3.9715863,-5.9559863,-4.0276951,-6.0120951
1519,SeInAlTe+TeInAlS-3,1.056,Direct,4.02,0.4247,0.0723,0.6822,0.0025,1,-4.4146303,-5.4705303,-4.5136887,-5.5695887
1520,SeInGaS+TeInAlS-2,0.439,Direct,3.893,0.6953,0,0.6972,0,1,-4.3170988,-4.7564988,-4.2204342,-4.6598342
1521,SeInAlTe+SeInAlTe-1,2.126,Indirect,4.079,0.169,0.1501,0.2864,0.3105,6,-4.0654246,-6.1918246,-4.067534,-6.193934
1522,SeInGaS+TeInGaS-3,0.432,Direct,3.907,0.6957,0.0007,0.6979,0.0008,1,-4.8412176,-5.2736176,-4.7363814,-5.1687814
1523,SeInGaS+TeGaAlS-3,0.98,Direct,3.844,0.0384,0.5901,0.6907,0.0004,2,-3.9995427,-4.9799427,-4.309803,-5.290203
1524,SeInAlTe+TeGaAlS-2,1.778,Direct,3.97,0.4362,0.0211,0.6714,0,1,-4.109113,-5.886913,-4.1606957,-5.9384957
1525,SeInAlS+SeInGaS-3,1.578,Direct,3.816,0.5862,0.0559,0,0.7328,2,-4.4982026,-6.0758026,-4.5753513,-6.1529513
1526,SeInAlTe+TeGaAlS-3,1.84,Indirect,3.962,0.4311,0.0513,0.1698,0.4164,5,-4.0388858,-5.8783858,-4.1279864,-5.9674864
1527,SeInAlTe+TeInAlSe,1.149,Direct,4.07,0.3032,0.21,0.6819,0,5,-4.2856372,-5.4350372,-3.0641321,-4.2135321
1528,SeInGaS+SInAlTe-3,1.712,Direct,3.928,0.0347,0.6004,0.2115,0.413,5,-3.496957,-5.208857,-4.5544832,-6.2663832
1529,SeInGaS+SeInGaS-1,1.896,Direct,3.838,0.2787,0.3671,0.3465,0.3116,6,-4.4149701,-6.3107701,-4.3900984,-6.2858984
1530,SeInGaS+TeInAlSe-2,0.433,Direct,3.938,0.6909,0,0.6935,0,1,-4.5216689,-4.9542689,-4.5154389,-4.9480389
1531,SeInAlTe+TeInAlSe-3,1.33,Direct,4.067,0.416,0.0646,0.677,0.0029,1,-3.7861367,-5.1160367,-4.9531191,-6.2830191
1532,SeInGaS+SGaAlTe-2,1.317,Direct,3.847,0.0506,0.5834,0.5644,0.0005,2,-4.7527055,-6.0695055,-4.6733206,-5.9901206
1533,SeInAlTe+SInAlTe-2,2.199,Indirect,4.045,0.1716,0.1493,0.2979,0.2943,6,-4.275651,-6.474351,-4.0665585,-6.2652585
1534,SeInGaS+SInAlSe-2,1.766,Direct,3.832,0.0417,0.5946,0.4362,0.1656,5,-5.2786879,-7.0450879,-4.2690835,-6.0354835
1535,SeInAlS+TeInGaS-3,-0.126,Direct,3.889,0.6976,0.0003,0.5398,0.0929,3,-4.9512567,-4.8251567,-4.9950198,-4.8689198
1536,SeInAlTe+TeInAlS-2,0.925,Direct,4.022,0.4332,0.0293,0.687,0,1,-4.3357892,-5.2604892,-4.6739432,-5.5986432
1537,SeInGaS+SInGaTe-3,1.574,Direct,3.942,0.0396,0.5988,0.6779,0,2,-4.2352853,-5.8096853,-4.3027718,-5.8771718
1538,SeInGaS+TeInAlS,0.432,Direct,3.892,0.6961,0,0.6976,0,1,-4.2814433,-4.7138433,-4.2733161,-4.7057161
1539,SeInAlS+TeGaAlS,0.673,Indirect,3.827,0.0023,0.285,0.6943,0,2,-3.993962,-4.666862,-3.8982579,-4.5711579
1540,SeInAlTe+SInGaTe-2,1.902,Indirect,4.054,0.5466,0.0926,0.2422,0.3762,5,-4.212632,-6.114332,-4.3654703,-6.2671703
1541,SeInGaS+TeInAlS-3,0.423,Direct,3.887,0.6962,0.0007,0.6975,0.0007,1,-4.287662,-4.710462,-4.3614413,-4.7842413
1542,SeInGaS+TeInGaS-2,0.429,Direct,3.911,0.6975,0,0.6992,0,1,-4.6178038,-5.0469038,-4.6666434,-5.0957434
1543,SeInAlTe+TeGaAlS,1.549,Indirect,3.973,0.0327,0.3042,0.6705,0,2,-3.5951754,-5.1444754,-3.4972289,-5.0465289
1544,SeInAlTe+SInAlSe-2,2.061,Indirect,3.957,0.4653,0.0432,0.2793,0.3224,5,-4.4734608,-6.5345608,-4.4612924,-6.5223924
1545,SeInAlTe+SeInGaS-3,1.196,Indirect,3.969,0.5399,0.1138,0.1691,0.441,5,-4.9880263,-6.1836263,-5.0364221,-6.2320221
1546,SeInGaS+TeGaAlS-2,0.163,Direct,3.851,0.0387,0.5976,0.6834,0.0055,2,-4.6234851,-4.7863851,-4.5478094,-4.7107094
1547,SeInAlTe+TeInAlSe-2,1.239,Direct,4.069,0.4125,0.0479,0.6819,0,1,-4.3674923,-5.6065923,-4.408416,-5.647516
1548,SeInGaS+SInAlTe-2,1.239,Direct,3.928,0.0528,0.5781,0.4076,0.1759,5,-5.1254575,-6.3647575,-5.014027,-6.253327
1549,SeInAlTe+TeInAlS,0.912,Direct,4.026,0.4022,0.0869,0.6861,0,1,-3.7845452,-4.6967452,-3.6578354,-4.5700354
1550,SeInGaS+TeInAlSe-3,0.421,Direct,3.937,0.6908,0.0009,0.6924,0.0009,1,-4.4913816,-4.9128816,-4.5697671,-4.9912671
1551,SeInAlTe+SInAlSe-3,1.388,Indirect,3.961,0.4503,0.0703,0.0803,0.5043,2,-4.2977396,-5.6853396,-4.4422505,-5.8298505
1552,SeInGaS+SInGaTe-2,1.05,Direct,3.93,0.0681,0.5689,0.679,0.0007,2,-5.2735262,-6.3233262,-4.5701145,-5.6199145
1553,SeInAlS+SInAlSe,1.779,Indirect,3.815,0.0036,0.2856,0.5201,0.0839,2,-5.3099398,-7.0889398,-3.442495,-5.221495
1554,SeInAlTe+SInAlSe,1.94,Indirect,3.963,0.0159,0.3274,0.5259,0.0751,2,-4.8666501,-6.8063501,-2.986923,-4.926623
1555,SeInGaS+SInAlSe-3,2.141,Indirect,3.834,0.3016,0.0374,0.1412,0.5282,5,-3.7530025,-5.8942025,-3.8569276,-5.9981276
1556,SeInGaS+SeInGaTe-3,1.336,Direct,3.972,0.0458,0.5923,0.3631,0.2948,5,-4.2112581,-5.5470581,-4.6583081,-5.9941081
1557,SeInAlTe+SeInGaTe-2,1.894,Indirect,4.087,0.5025,0.1156,0.2444,0.379,5,-3.9285495,-5.8230495,-4.3072759,-6.2017759
1558,SeInGaTe+SInAlSe-1,1.697,Direct,3.968,0.4458,0.0837,0,0.6735,2,-3.7568219,-5.4542219,-3.7874349,-5.4848349
1559,SeInGaTe+TeInAlSe,1.106,Direct,4.078,0.2587,0.2943,0.6804,0,5,-4.002961,-5.108661,-3.924596,-5.030296
1560,SGaAlSe+TeInGaS,0.448,Direct,3.833,0.7053,0,0.7073,0,1,-3.9048146,-4.3528146,-3.8623036,-4.3103036
1561,SeInGaTe+SInAlSe-2,1.999,Indirect,3.966,0.4316,0.091,0.3575,0.2809,5,-4.608034,-6.607234,-4.1235637,-6.1227637
1562,SGaAlSe+SInGaSe-3,2.037,Indirect,3.771,0.5733,0.0502,0.0577,0.5237,2,-3.3568616,-5.3942616,-4.691824,-6.729224
1563,SeInGaTe+TeInGaSe-3,1.182,Indirect,4.088,0.4901,0.1563,0.2779,0.3943,6,-4.6149801,-5.7967801,-4.6332355,-5.8150355
1564,SGaAlSe+SInGaTe-1,1.751,Direct,3.861,0.0512,0.5416,0.6914,0,2,-3.4676951,-5.2188951,-3.4629773,-5.2141773
1565,SeInGaTe+TeInAlSe-3,1.327,Direct,4.072,0.3824,0.1131,0.669,0.012,5,-3.8146089,-5.1412089,-4.637063,-5.963663
1566,SeInGaTe+TeInGaS-1,1.004,Direct,4.051,0.4453,0.209,0.6821,0.0031,5,-4.4711844,-5.4754844,-4.3803035,-5.3846035
1567,SGaAlSe+TeInAlSe,0.327,Direct,3.864,0.6994,0,0.7,0,1,-3.925035,-4.251635,-3.8430852,-4.1696852
1568,SeInGaTe+TeInAlSe-2,1.199,Direct,4.076,0.3742,0.114,0.6812,0,5,-4.2541507,-5.4530507,-4.3347899,-5.5336899
1569,SGaAlSe+SGaAlSe,2.023,Indirect,3.687,0.0091,0.3226,0.504,0.0672,2,-4.809324,-6.832724,-3.2551337,-5.2785337
1570,SGaAlSe+SInAlSe-2,2.484,Indirect,3.756,0.1113,0.1988,0.2032,0.3891,6,-4.522576,-7.006276,-4.1634312,-6.6471312
1571,SeInGaTe+TeInAlS,0.893,Direct,4.035,0.3596,0.163,0.6855,0,5,-3.9923735,-4.8857735,-3.9076601,-4.8010601
1572,SGaAlSe+SInAlTe-1,2.274,Indirect,3.852,0.0406,0.5462,0.1556,0.4314,5,-3.0695867,-5.3437867,-3.4047343,-5.6789343
