,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
1843,InTe+TeInGaS,0.24,Indirect,4.201,0.6247,0.0047,0.1532,0.5058,5,-0.02624448,,
1844,InTe+TeInGaS-1,0.773,Indirect,4.197,0.4862,0.1832,0.516,0.1573,6,-0.06194079,,
1845,InTe+TeInGaSe,0.238,Indirect,4.233,0.5736,0.0519,0.3188,0.3509,5,-0.1249877,,
1846,InTe+TeInGaSe-1,0.587,Indirect,4.236,0.4808,0.1831,0.5076,0.1641,6,-0.14248403,,
1847,InTe+Al2SeTe,0.995,Direct,4.146,0.3923,0.0284,0.0002,0.6711,2,0.09673047,,
1848,InTe+Al2SeTe-1,1.152,Indirect,4.146,0.3618,0.0886,0.3653,0.1645,5,0.08370392,,
1849,InTe+Al2SSe,0.373,Direct,4.005,0.4266,0.0256,0.0001,0.6864,2,0.75438282,,
1850,InTe+Al2SSe-1,0.465,Direct,4.004,0.4163,0.0546,0.0002,0.6867,2,0.7381781,,
1851,InTe+Al2STe,0.859,Direct,4.102,0.3957,0.0138,0.0001,0.6758,2,0.28655671,,
1852,InTe+Al2STe-1,1.108,Direct,4.099,0.3607,0.088,0.0009,0.6756,2,0.25770662,,
1853,InTe+Ga2SeTe,0.438,Indirect,4.167,0.5763,0.0512,0.3407,0.3232,5,0.02315583,,
1854,InTe+Ga2SeTe-1,0.698,Indirect,4.17,0.506,0.1481,0.5302,0.129,5,0.01265731,,
1855,InTe+Ga2SSe,-0.009,Indirect,4.033,0.3607,0.3013,0.0004,0.6826,3,0.56640546,,
1856,InTe+Ga2SSe-1,0.083,Direct,4.041,0.5195,0.1425,0.0006,0.6824,5,0.55164263,,
1857,InTe+Ga2STe,0.174,Direct,4.131,0.609,0.0212,0.0004,0.6727,2,0.16781828,,
1858,InTe+Ga2STe-1,0.87,Indirect,4.131,0.5154,0.1472,0.5518,0.1119,5,0.1412306,,
1859,InTe+GaAlS2,0.086,Direct,3.971,0.5291,0.0348,0,0.6901,2,0.99288755,,
1860,InTe+GaAlS2-1,-0.049,Indirect,3.969,0.2746,0.3663,0.0004,0.6889,3,0.96675419,,
1861,InTe+GaAlSe2,0.573,Direct,4.066,0.5042,0.0521,0.0002,0.6798,2,0.4091294,,
1862,InTe+GaAlSe2-1,0.202,Direct,4.07,0.4788,0.1102,0.0006,0.6793,2,0.39212885,,
1863,InTe+GaAlTe2,1.031,Indirect,4.228,0.0432,0.5153,0.4371,0.1415,5,-0.13206533,,
1864,InTe+GaAlTe2-1,1.013,Indirect,4.23,0.4716,0.1125,0.3412,0.2638,5,-0.14320294,,
1865,InTe+In2SeTe,0.627,Indirect,4.297,0.4965,0.1425,0.3259,0.3451,6,-0.23529559,,
1866,InTe+In2SeTe-1,0.748,Indirect,4.296,0.4589,0.1835,0.3888,0.2851,6,-0.23242194,,
1867,InTe+In2SSe,0.456,Direct,4.187,0.4987,0.1466,0.0009,0.6663,5,-0.02488646,,
1868,InTe+In2SSe-1,0.656,Indirect,4.189,0.4879,0.1721,0.3492,0.3321,6,-0.03477238,,
1869,InTe+In2STe,0.51,Indirect,4.266,0.5422,0.1061,0.2566,0.4064,5,-0.18607229,,
1870,InTe+In2STe-1,0.798,Indirect,4.262,0.4776,0.1862,0.4018,0.2746,6,-0.19377469,,
1871,InTe+InAlS2,0.376,Direct,4.05,0.4971,0.0236,0.0001,0.6818,2,0.54378496,,
1872,InTe+InAlS2-1,0.001,Direct,4.054,0.4306,0.1467,0.0149,0.6626,5,0.50392731,,
1873,InTe+InAlSe2,0.76,Direct,4.135,0.4624,0.0388,0.0002,0.6726,2,0.14279103,,
1874,InTe+InAlSe2-1,0.472,Direct,4.141,0.4175,0.1395,0.0015,0.6708,5,0.11062784,,
1875,InTe+InAlTe2,1.061,Indirect,4.29,0.0257,0.542,0.4116,0.1979,5,-0.21024503,,
1876,InTe+InAlTe2-1,0.968,Indirect,4.296,0.3592,0.1459,0.2828,0.3461,6,-0.22735022,,
1877,InTe+InGaS2,-0.008,Indirect,4.075,0.29,0.3716,0.0004,0.6784,3,0.42153016,,
1878,InTe+InGaS2-1,0.027,Direct,4.081,0.4885,0.1823,0.0008,0.6782,5,0.40087165,,
1879,InTe+InGaSe2,0.326,Indirect,4.153,0.511,0.12,0.3999,0.2734,5,0.07486255,,
1880,InTe+InGaSe2-1,0.492,Direct,4.157,0.4842,0.1789,0.0018,0.6692,5,0.05892901,,
1881,InTe+InGaTe2,0.672,Indirect,4.302,0.519,0.0965,0.4138,0.2459,5,-0.23155127,,
1882,InTe+InGaTe2-1,0.712,Indirect,4.301,0.47,0.1526,0.414,0.2464,6,-0.23723041,,
1883,InTe+InTe,0.874,Indirect,4.364,0.3168,0.302,0.3383,0.3276,6,-0.26575724,,
1884,InTe+SeGaAlS,0.324,Direct,4.019,0.5196,0.0275,0.0001,0.6853,2,0.68966053,,
1885,InTe+SeGaAlS-1,0.06,Direct,4.018,0.4848,0.1053,0.0005,0.6847,2,0.6556347,,
1886,InTe+SeGaAlTe,0.873,Indirect,4.158,0.4849,0.1164,0.5169,0.0724,1,0.04733619,,
1887,InTe+SeGaAlTe-1,0.502,Direct,4.16,0.5412,0.0471,0.0006,0.6693,2,0.04530326,,
1888,InTe+SeInAlS,0.557,Direct,4.086,0.4873,0.0184,0.0001,0.6783,2,0.35465346,,
1889,InTe+SeInAlS-1,0.342,Direct,4.093,0.4347,0.1339,0.0014,0.6762,5,0.30573626,,
1890,InTe+SeInAlTe,1.082,Indirect,4.222,0.415,0.1637,0.4688,0.1406,6,-0.10799426,,
1891,InTe+SeInAlTe-1,0.846,Indirect,4.227,0.473,0.1101,0.2624,0.3787,5,-0.1261166,,
1892,InTe+SeInGaS,0,Direct,4.113,0.5802,0.0474,0.0008,0.673,4,0.24626359,,
1893,InTe+SeInGaS-1,0.421,Direct,4.119,0.4931,0.1803,0.0017,0.6736,5,0.21178802,,
1894,InTe+SeInGaTe,0.732,Indirect,4.231,0.4944,0.1371,0.4741,0.1946,6,-0.13655407,,
1895,InTe+SGaAlSe,0.44,Direct,4.021,0.5048,0.0676,0.0002,0.6848,2,0.64552101,,
1896,InTe+SeInGaTe-1,0.635,Indirect,4.235,0.5121,0.1208,0.3592,0.3097,5,-0.14252385,,
1897,InTe+SGaAlSe-1,-0.01,Indirect,4.026,0.4039,0.2059,0.0004,0.6833,3,0.64135698,,
1898,InTe+SGaAlTe,1.001,Indirect,4.123,0.4766,0.1215,0.5331,0.0576,5,0.18454442,,
1899,InTe+SGaAlTe-1,0.209,Direct,4.124,0.5528,0.0175,0.0004,0.6731,2,0.1984428,,
1900,SeGaAlS+SeInAlTe-1,1.318,Indirect,3.883,0.0701,0.4697,0.1753,0.4285,5,0.13269969,,
1901,SeGaAlS+SeInAlTe-2,1.264,Direct,3.881,0.0226,0.4959,0.6591,0.0001,2,0.15561683,,
1902,SeGaAlS+SeInAlTe-3,1.244,Indirect,3.882,0.2997,0.0033,0.0627,0.5294,2,0.15689339,,
1903,SeGaAlS+SeInGaS,1.217,Direct,3.755,0.5278,0.094,0.74,0,1,-0.14583205,,
1904,SeGaAlS+SeInGaS-1,1.311,Direct,3.754,0.5286,0.095,0.7329,0.0082,1,-0.16257856,,
1905,SeGaAlS+SeInGaS-2,1.24,Indirect,3.756,0.6013,0.0363,0.0893,0.5057,2,-0.12835711,,
1906,SeGaAlS+SeInGaS-3,1.197,Indirect,3.757,0.5974,0.0424,0.088,0.5116,2,-0.13983558,,
1907,SeGaAlS+SeInGaTe,0.572,Direct,3.889,0.0796,0.4754,0.6859,0.0009,2,0.14534106,,
1908,SeGaAlS+SeInGaTe-1,0.984,Direct,3.887,0.091,0.4617,0.6872,0,2,0.14891314,,
1909,SeGaAlS+SeInGaTe-2,1.028,Direct,3.888,0.0413,0.4848,0.6869,0.0002,2,0.16861396,,
1910,SeGaAlS+SeInGaTe-3,1.286,Indirect,3.889,0.454,0.0611,0.0764,0.5243,2,0.17061566,,
1911,SeGaAlS+TeInAlS-1,-0.188,Indirect,3.801,0.308,0.0128,0.7045,0.0008,3,-0.07749019,,
1912,SeGaAlS+SGaAlSe,1.369,Indirect,3.687,0.0063,0.2659,0.4894,0.0916,2,-0.19785974,,
1913,SeGaAlS+SGaAlSe-1,1.628,Indirect,3.686,0.2703,0.0571,0.2376,0.3521,5,-0.19171266,,
1914,SeGaAlS+SGaAlSe-2,1.775,Indirect,3.686,0.0505,0.2204,0.3309,0.2527,5,-0.1789575,,
1915,SeGaAlS+SGaAlSe-3,1.194,Indirect,3.686,0.3223,0.0083,0,0.7298,2,-0.17356639,,
1916,SeGaAlS+SGaAlTe,0.507,Indirect,3.773,0.0061,0.2573,0.575,0.0007,2,-0.13346997,,
1917,SeGaAlS+SGaAlTe-1,1.158,Indirect,3.773,0.2741,0.0847,0.5754,0,5,-0.11443107,,
1918,SeGaAlS+SGaAlTe-2,0.999,Indirect,3.773,0.0153,0.2487,0.5753,0.0001,2,-0.11099034,,
1919,SeGaAlS+SGaAlTe-3,1.136,Indirect,3.777,0.3739,0.0128,0.0621,0.5181,2,-0.09767694,,
1920,SeGaAlS+SInAlSe,1.452,Indirect,3.758,0.0088,0.257,0.4534,0.1522,5,-0.14434186,,
1921,SeGaAlS+SInAlSe-1,1.361,Indirect,3.758,0.3301,0.0076,0.1053,0.49,2,-0.14942351,,
1922,SeGaAlS+SInAlSe-2,1.708,Indirect,3.759,0.0639,0.2067,0.23,0.3646,6,-0.12831998,,
1923,SeGaAlS+SInAlSe-3,0.995,Indirect,3.757,0.3335,0.0042,0.0374,0.548,2,-0.1265608,,
1924,SeGaAlS+SInAlTe,0.881,Indirect,3.844,0.0065,0.2534,0.5646,0.0011,2,0.03112609,,
1925,SeGaAlS+SInAlTe-1,1.477,Indirect,3.845,0.2547,0.0921,0.1145,0.4802,5,0.03672487,,
1926,SeGaAlS+SInAlTe-2,1.292,Direct,3.845,0.0274,0.4851,0.5647,0.0002,2,0.05010159,,
1927,SeGaAlS+SInAlTe-3,1.084,Indirect,3.848,0.2897,0.0027,0.0411,0.5442,2,0.05865977,,
1928,SeGaAlS+SInGaSe,1.511,Indirect,3.771,0.0281,0.2496,0.3992,0.2512,5,-0.13903272,,
1929,SeGaAlS+SInGaSe-1,1.566,Indirect,3.765,0.4986,0.107,0.1725,0.4474,5,-0.13462993,,
1930,SeGaAlS+SInGaSe-2,1.661,Indirect,3.771,0.1781,0.1703,0.1438,0.4633,6,-0.12057034,,
1931,SeGaAlS+SInGaSe-3,1.198,Indirect,3.771,0.5831,0.0403,0.049,0.5391,2,-0.11487837,,
1932,SeGaAlS+SInGaTe,0.544,Direct,3.851,0.0731,0.4718,0.6922,0.0009,2,0.03919829,,
1933,SeGaAlS+SInGaTe-1,1.15,Direct,3.853,0.1562,0.3971,0.6931,0,5,0.0519353,,
1934,SeGaAlS+SInGaTe-2,1.005,Direct,3.854,0.0542,0.4686,0.6925,0.0002,2,0.06221822,,
1935,SeGaAlS+SInGaTe-3,1.281,Indirect,3.857,0.5102,0.0274,0.051,0.5398,2,0.07308489,,
1936,SeGaAlS+TeGaAlS,0.052,Indirect,3.767,0.0119,0.2522,0.7042,0,2,-0.12040256,,
1937,SeGaAlS+TeGaAlS-1,0.239,Indirect,3.766,0.0099,0.2561,0.704,0.0005,2,-0.15130002,,
1938,SeGaAlS+TeGaAlS-2,0.43,Indirect,3.766,0.1672,0.105,0.7045,0,5,-0.10449547,,
1939,SeGaAlS+TeGaAlS-3,0.537,Indirect,3.766,0.2602,0.0097,0.7041,0.0001,1,-0.12822247,,
1940,SeGaAlS+TeGaAlSe,0.243,Indirect,3.817,0.0093,0.2519,0.6961,0,2,-0.04074939,,
1941,SeGaAlS+TeGaAlSe-1,0.426,Indirect,3.818,0.0104,0.252,0.6951,0.0007,2,-0.05714271,,
1942,SeGaAlS+TeGaAlSe-2,0.652,Indirect,3.816,0.0499,0.2179,0.6964,0,2,-0.02327071,,
1943,SeGaAlS+TeGaAlSe-3,0.872,Indirect,3.814,0.0655,0.199,0.6964,0.0002,5,-0.03400043,,
1944,SeGaAlS+TeInAlS,-0.249,Indirect,3.801,0.2016,0.0993,0.7034,0,3,-0.05309733,,
1945,SeGaAlS+TeInAlS-2,-0.231,Indirect,3.802,0.2839,0.0264,0.7039,0,3,-0.02851868,,
1946,SeGaAlS+TeInAlS-3,-0.172,Indirect,3.804,0.312,0.0044,0.7041,0.0002,3,-0.04848219,,
1947,SeGaAlS+TeInAlSe,-0.098,Indirect,3.859,0.0365,0.2325,0.7008,0,3,0.07634941,,
1948,SeGaAlS+TeInAlSe-1,0,Direct,3.862,0.331,0.264,0.4659,0.1677,4,0.06703957,,
1949,SeGaAlS+TeInAlSe-2,0.002,Direct,3.865,0.0486,0.472,0.7025,0,2,0.10409244,,
1950,SeGaAlS+TeInAlSe-3,0.208,Indirect,3.861,0.338,0.0075,0.7021,0.0002,1,0.0947823,,
1951,SeGaAlS+TeInGaS,-0.041,Indirect,3.825,0.702,0.0015,0.7081,0,3,-0.00586612,,
1952,SeGaAlS+TeInGaS-1,-0.031,Indirect,3.822,0.6979,0.0046,0.7071,0.0008,3,-0.03128101,,
1953,SeGaAlS+TeInGaS-2,-0.027,Indirect,3.831,0.7004,0.0017,0.7077,0,3,0.01226082,,
1954,SeGaAlS+TeInGaS-3,-0.015,Indirect,3.822,0.6753,0.0136,0.7073,0.0002,3,-0.00204084,,
1955,SeGaAlS+TeInGaSe,0.008,Direct,3.874,0.7013,0,0.7028,0,1,0.11199548,,
1956,SeGaAlS+TeInGaSe-1,0.001,Direct,3.875,0.6904,0.0083,0.2163,0.3498,5,0.10205956,,
1957,SeGaAlS+TeInGaSe-2,0.193,Direct,3.878,0.4165,0.1912,0.7036,0,5,0.13222735,,
1958,SeGaAlS+TeInGaSe-3,0.211,Direct,3.874,0.3732,0.2129,0.7032,0.0002,5,0.12971683,,
1959,SeGaAlS+SeGaAlS,1.374,Indirect,3.683,0.0077,0.2643,0.7302,0,2,-0.18382237,,
1960,SeGaAlS+SeGaAlS-1,1.756,Indirect,3.683,0.1846,0.0817,0,0.7303,5,-0.16679224,,
1961,SeGaAlS+SeGaAlS-2,1.648,Indirect,3.683,0.1211,0.1566,0.3074,0.2932,6,-0.20439413,,
1962,SeGaAlS+SeGaAlTe,0.689,Indirect,3.818,0.006,0.2541,0.5689,0.0008,2,-0.04189642,,
1963,SeGaAlS+SeGaAlTe-1,1.232,Indirect,3.822,0.0556,0.225,0.5691,0,2,-0.03654841,,
1964,SeGaAlS+SeGaAlTe-2,1.171,Indirect,3.817,0.0184,0.2443,0.5695,0.0002,2,-0.01945413,,
1965,SeGaAlS+SeGaAlTe-3,1.327,Indirect,3.821,0.3218,0.0462,0.1072,0.4774,2,-0.01761805,,
1966,SeGaAlS+SeInAlS,0.586,Indirect,3.738,0.012,0.2551,0.74,0,2,-0.15309514,,
1967,SeGaAlS+SeInAlS-1,1.103,Indirect,3.741,0.2921,0.0069,0.7332,0.0071,1,-0.17997828,,
1968,SeGaAlS+SeInAlS-2,0.987,Indirect,3.739,0.2248,0.0608,0.7398,0,5,-0.13686993,,
1969,SeGaAlS+SeInAlS-3,1.075,Indirect,3.74,0.2943,0.0033,0.0726,0.5195,2,-0.15589584,,
1970,SeGaAlS+SeInAlTe,0.794,Direct,3.881,0.0584,0.486,0.6645,0.0004,2,0.13379944,,
1971,SeGaAlTe+TeInAlSe-3,0.527,Direct,4.001,0.4017,0.0726,0.6854,0.0023,1,-0.2114539,,
1972,SeGaAlTe+TeInGaS,0.088,Direct,3.972,0.5819,0.0504,0.6942,0,1,-0.2057777,,
1973,SeGaAlTe+TeInGaS-1,0.1,Direct,3.976,0.3809,0.2417,0.6924,0.0011,5,-0.22737728,,
1974,SeGaAlTe+TeInGaS-2,0.08,Direct,3.973,0.5575,0.0695,0.694,0,1,-0.20815965,,
1975,SeGaAlTe+TeInGaS-3,0.212,Direct,3.97,0.5467,0.1016,0.69,0.0027,1,-0.23337867,,
1976,SeGaAlTe+TeInGaSe,0.336,Direct,4.013,0.4153,0.2064,0.6899,0,5,-0.1941499,,
1977,SeGaAlTe+TeInGaSe-1,0.294,Direct,4.016,0.2714,0.3318,0.688,0.001,5,-0.20101144,,
1978,SeGaAlTe+TeInGaSe-2,0.387,Direct,4.015,0.5453,0.0789,0.6893,0,1,-0.19495363,,
1979,SeGaAlTe+TeInGaSe-3,0.45,Direct,4.014,0.5424,0.0894,0.6852,0.0026,1,-0.20475764,,
1980,SeGaAlTe+SeGaAlTe,0.881,Indirect,3.959,0.0675,0.5303,0.479,0.0864,2,-0.2145741,,
1981,SeGaAlTe+SeGaAlTe-1,1.328,Indirect,3.955,0.2817,0.3153,0.2983,0.2752,6,-0.21663378,,
1982,SeGaAlTe+SeGaAlTe-2,1.143,Indirect,3.957,0.316,0.2806,0.282,0.2902,6,-0.21385792,,
1983,SeGaAlTe+SeInAlS,1.309,Direct,3.883,0.3276,0.1953,0.7261,0,5,-0.1335699,,
1984,SeGaAlTe+SeInAlS-1,1.138,Indirect,3.881,0.4042,0.0918,0.182,0.4057,5,-0.16592608,,
1985,SeGaAlTe+SeInAlS-2,1.226,Direct,3.878,0.4425,0.0315,0.0003,0.5611,2,-0.13922382,,
1986,SeGaAlTe+SeInAlS-3,0.728,Direct,3.879,0.435,0.058,0.0043,0.5584,2,-0.17141981,,
1987,SeGaAlTe+SeInAlTe,0.827,Indirect,4.02,0.0526,0.5446,0.4269,0.16,5,-0.18226843,,
1988,SeGaAlTe+SeInAlTe-1,1.098,Indirect,4.023,0.0772,0.517,0.2134,0.3712,5,-0.19166084,,
1989,SeGaAlTe+SeInAlTe-2,1.266,Indirect,4.016,0.0542,0.545,0.2029,0.3793,5,-0.18458265,,
1990,SeGaAlTe+SeInAlTe-3,0.996,Indirect,4.017,0.3196,0.0129,0.0568,0.5142,2,-0.19382564,,
1991,SeGaAlTe+SeInGaS,0.871,Indirect,3.902,0.5872,0.046,0.2893,0.3203,5,-0.17185276,,
1992,SeGaAlTe+SeInGaS-1,0.958,Indirect,3.899,0.5164,0.1218,0.324,0.3065,5,-0.19152234,,
1993,SeGaAlTe+SeInGaS-2,0.533,Indirect,3.897,0.5694,0.0606,0.0954,0.4805,2,-0.17741724,,
1994,SeGaAlTe+SeInGaS-3,0.671,Indirect,3.895,0.5605,0.0868,0.1051,0.4788,2,-0.19820461,,
1995,SeGaAlTe+SeInGaTe,0.79,Indirect,4.025,0.089,0.5149,0.4412,0.1981,5,-0.18873675,,
1996,SeGaAlTe+SeInGaTe-1,1,Indirect,4.027,0.1192,0.4857,0.3037,0.32,5,-0.18914383,,
1997,SeGaAlTe+SeInGaTe-2,1.147,Indirect,4.023,0.1931,0.4143,0.1837,0.4207,6,-0.18836555,,
1998,SeGaAlTe+SeInGaTe-3,1.022,Indirect,4.024,0.4,0.2119,0.0869,0.498,5,-0.18947978,,
1999,SeGaAlTe+SGaAlSe,1.324,Indirect,3.825,0.0166,0.3886,0.4988,0.083,2,-0.03662991,,
2000,SeGaAlTe+SGaAlSe-1,1.076,Direct,3.825,0.5496,0.0423,0,0.5685,2,-0.03289591,,
2001,SeGaAlTe+SGaAlSe-2,1.263,Direct,3.823,0.5414,0.0524,0.0004,0.5685,2,-0.04167575,,
2002,SeGaAlTe+SGaAlSe-3,0.508,Direct,3.825,0.5578,0.0348,0.0003,0.5684,2,-0.03929777,,
2003,SeGaAlTe+SGaAlTe,1.017,Indirect,3.912,0.1111,0.4866,0.5013,0.0675,2,-0.19847305,,
2004,SeGaAlTe+SGaAlTe-1,1.016,Indirect,3.918,0.5557,0.0335,0.2057,0.3594,5,-0.18276655,,
2005,SeGaAlTe+SGaAlTe-2,1.342,Indirect,3.91,0.4572,0.1393,0.3333,0.2432,6,-0.20166519,,
2006,SeGaAlTe+SGaAlTe-3,0.607,Indirect,3.912,0.5509,0.0386,0.0703,0.4897,2,-0.18767087,,
2007,SeGaAlTe+SInAlSe,1.385,Indirect,3.893,0.016,0.3946,0.4262,0.169,5,-0.16472605,,
2008,SeGaAlTe+SInAlSe-1,1.167,Indirect,3.895,0.4346,0.0836,0.1378,0.4368,5,-0.17415608,,
2009,SeGaAlTe+SInAlSe-2,1.439,Indirect,3.89,0.2492,0.0644,0.1809,0.3967,6,-0.1697829,,
2010,SeGaAlTe+SInAlSe-3,0.771,Indirect,3.896,0.3112,0.0047,0.0011,0.5584,2,-0.17875622,,
2011,SeGaAlTe+SInAlTe,0.965,Indirect,3.982,0.0514,0.5469,0.4411,0.1399,5,-0.2050836,,
2012,SeGaAlTe+SInAlTe-1,1.225,Indirect,3.985,0.2237,0.3709,0.1672,0.4076,6,-0.20636262,,
2013,SeGaAlTe+SInAlTe-2,1.374,Indirect,3.981,0.0861,0.5119,0.2026,0.3766,5,-0.20908954,,
2014,SeGaAlTe+SInAlTe-3,0.841,Indirect,3.982,0.3415,0.0098,0.0481,0.5162,2,-0.21037992,,
2015,SeGaAlTe+SInGaSe,1.13,Indirect,3.907,0.431,0.1927,0.403,0.2319,6,-0.19327415,,
2016,SeGaAlTe+SInGaSe-1,0.985,Indirect,3.907,0.539,0.0888,0.2262,0.3767,5,-0.1899201,,
2017,SeGaAlTe+SInGaSe-2,0.927,Indirect,3.906,0.5584,0.0724,0.1348,0.4521,5,-0.19720568,,
2018,SeGaAlTe+SInGaSe-3,0.63,Indirect,3.909,0.5569,0.0737,0.0759,0.4959,2,-0.19583546,,
2019,SeGaAlTe+SInGaTe,0.917,Indirect,3.99,0.0875,0.5159,0.4624,0.1742,5,-0.2150814,,
2020,SeGaAlTe+SInGaTe-1,1.137,Indirect,3.993,0.2976,0.3195,0.2391,0.3652,6,-0.20695925,,
2021,SeGaAlTe+SInGaTe-2,1.224,Indirect,3.989,0.2845,0.3303,0.1803,0.4179,6,-0.2160531,,
2022,SeGaAlTe+SInGaTe-3,0.817,Indirect,3.989,0.5395,0.0876,0.0629,0.5104,2,-0.21050883,,
2023,SeGaAlTe+TeGaAlS,0.738,Indirect,3.906,0.0141,0.3913,0.6817,0,2,-0.16332905,,
2024,SeGaAlTe+TeGaAlS-1,0.836,Direct,3.9,0.1732,0.3705,0.6822,0.0009,5,-0.19455905,,
2025,SeGaAlTe+TeGaAlS-2,0.899,Indirect,3.9,0.2438,0.0271,0.6828,0,1,-0.16717488,,
2026,SeGaAlTe+TeGaAlS-3,0.996,Indirect,3.901,0.2646,0.0096,0.6681,0.0124,1,-0.19875225,,
2027,SeGaAlTe+TeGaAlSe,0.833,Direct,3.949,0.0625,0.5368,0.6744,0,2,-0.20306365,,
2028,SeGaAlTe+TeGaAlSe-1,0.939,Direct,3.952,0.0868,0.4926,0.6733,0.001,2,-0.2198794,,
2029,SeGaAlTe+TeGaAlSe-2,1.231,Indirect,3.949,0.2454,0.0625,0.6744,0,5,-0.20515099,,
2030,SeGaAlTe+TeGaAlSe-3,1.259,Indirect,3.948,0.2892,0.0183,0.1339,0.44,5,-0.22211214,,
2031,SeGaAlTe+TeInAlS,0,Direct,3.952,0.6937,0,0.6914,0.0016,4,-0.19211054,,
2032,SeGaAlTe+TeInAlS-1,0.101,Direct,3.953,0.2996,0.2059,0.6927,0.0009,5,-0.22681359,,
2033,SeGaAlTe+TeInAlS-2,0.072,Direct,3.953,0.4271,0.0346,0.6939,0,1,-0.19406951,,
2034,SeGaAlTe+TeInAlS-3,0.209,Direct,3.952,0.4155,0.0666,0.6902,0.0023,1,-0.23077991,,
2035,SeGaAlTe+TeInAlSe,0.091,Direct,4.003,0.0789,0.5153,0.6882,0,2,-0.18941224,,
2036,SeGaAlTe+TeInAlSe-1,0.317,Direct,4.002,0.1576,0.3873,0.6875,0.0011,5,-0.20954229,,
2037,SeGaAlTe+TeInAlSe-2,0.393,Direct,4,0.3622,0.1224,0.689,0,5,-0.19059873,,
2038,Al2STe+TeInAlSe-1,0.454,Direct,3.939,0.3936,0.0599,0.6917,0.0025,1,-0.13960099,,
2039,Al2STe+TeInAlSe-2,0.192,Indirect,3.946,0.0589,0.1948,0.6943,0,5,-0.10231056,,
2040,Al2STe+TeInAlSe-3,0.45,Direct,3.943,0.3598,0.0904,0.6942,0.0003,5,-0.11209792,,
2041,Al2STe+TeInGaS,0.003,Indirect,3.905,0.6834,0.0042,0.6994,0,1,-0.16563335,,
2042,Al2STe+TeInGaS-1,0.016,Direct,3.907,0.5841,0.0471,0.6969,0.0024,1,-0.18921868,,
2043,Al2STe+TeInGaS-2,0.004,Indirect,3.914,0.6973,0,0.6959,0.0003,1,-0.14746358,,
2044,Al2STe+TeInGaS-3,0.036,Direct,3.912,0.5685,0.0598,0.6994,0.0002,1,-0.15843494,,
2045,Al2STe+TeInGaSe,0.283,Direct,3.953,0.5496,0.0562,0.6953,0,1,-0.10921554,,
2046,Al2STe+TeInGaSe-1,0.36,Direct,3.952,0.5529,0.0549,0.692,0.0028,1,-0.12021473,,
2047,Al2STe+TeInGaSe-2,0.371,Direct,3.959,0.5632,0.0555,0.6952,0,1,-0.09326178,,
2048,Al2STe+TeInGaSe-3,0.373,Direct,3.959,0.524,0.0768,0.6945,0.0003,1,-0.0923853,,
2049,Al2STe+Al2STe,0.919,Indirect,3.833,0.1917,0.0415,0.0003,0.5654,2,-0.19033077,,
2050,Al2STe+Al2STe-1,1.023,Indirect,3.841,0.176,0.0563,0,0.5648,5,-0.17163911,,
2051,Al2STe+Al2STe-2,1.057,Indirect,3.833,0.1248,0.1082,0.3026,0.2651,6,-0.21837429,,
2052,Al2STe+Ga2SeTe,1.195,Direct,3.905,0.5433,0.0603,0.0226,0.538,2,-0.18186964,,
2053,Al2STe+Ga2SeTe-1,1.131,Indirect,3.903,0.0602,0.2035,0.665,0.0174,5,-0.1897125,,
2054,Al2STe+Ga2SeTe-2,1.193,Indirect,3.906,0.2606,0.1215,0.6846,0.0001,5,-0.16199029,,
2055,Al2STe+Ga2SeTe-3,1.035,Indirect,3.904,0.0738,0.2036,0.6851,0.0003,5,-0.16461349,,
2056,Al2STe+Ga2SSe,0.425,Direct,3.774,0.6132,0.022,0.0004,0.5738,2,-0.16730114,,
2057,Al2STe+Ga2SSe-1,0.713,Direct,3.772,0.5992,0.0392,0.0009,0.5738,2,-0.17942475,,
2058,Al2STe+Ga2SSe-2,0.493,Direct,3.778,0.6191,0.0199,0,0.5736,2,-0.14239684,,
2059,Al2STe+Ga2SSe-3,0.774,Direct,3.776,0.5891,0.0469,0,0.5742,2,-0.15248844,,
2060,Al2STe+Ga2STe,0.635,Direct,3.861,0.6091,0.0183,0.0004,0.5613,2,-0.20176781,,
2061,Al2STe+Ga2STe-1,0.949,Direct,3.858,0.5212,0.0849,0.6721,0.0175,1,-0.22235541,,
2062,Al2STe+Ga2STe-2,0.728,Direct,3.865,0.6172,0.0145,0,0.5615,2,-0.18070965,,
2063,Al2STe+Ga2STe-3,0.842,Indirect,3.861,0.0564,0.212,0.6919,0.0002,5,-0.19540432,,
2064,Al2STe+GaAlS2,0.558,Indirect,3.714,0.1299,0.1218,0.0001,0.5825,5,-0.03815833,,
2065,Al2STe+GaAlS2-1,-0.01,Indirect,3.714,0.2645,0.0058,0.0003,0.5824,3,-0.04844218,,
2066,Al2STe+GaAlS2-2,0.576,Indirect,3.715,0.0015,0.1739,0,0.5829,1,-0.01361092,,
2067,Al2STe+GaAlS2-3,0.046,Indirect,3.714,0.2646,0.0032,0,0.5829,2,-0.02141735,,
2068,Al2STe+GaAlSe2,1.013,Indirect,3.806,0.0344,0.2106,0.0004,0.5692,1,-0.19766135,,
2069,Al2STe+GaAlSe2-1,0.784,Indirect,3.807,0.2723,0.0327,0.001,0.5689,2,-0.20657486,,
